subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
60,1,P,-1,11949,3,135,571,0,3,0,7783
60,1,P,-2,25283,3,248,248,3,0,1,5688
60,1,P,-3,36520,3,679,679,3,0,1,6894
60,1,T,1,49105,2,85,85,2,0,1,5300
60,1,T,2,58951,2,64,64,2,0,1,4260
60,1,T,3,68763,3,472,472,3,0,1,5708
60,1,T,4,80022,3,815,815,3,0,1,5295
60,1,T,5,91878,4,3417,3174,1,3,0,6341
60,1,T,6,104777,4,6158,6158,4,0,1,5844
60,1,T,7,118182,5,52186,52186,5,0,1,6307
60,1,T,8,132053,5,42731,4273,4,1,0,7815
60,1,T,9,148432,6,392487,342987,4,2,0,8198
60,1,T,10,165195,6,378294,3792,3,3,0,6672
