subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
64,1,P,-1,11658,3,135,,0,3,0,19120
64,1,P,-2,36327,3,248,248,3,0,1,7196
64,1,P,-3,49073,3,679,679,3,0,1,5882
64,1,T,1,61026,2,85,85,2,0,1,4426
64,1,T,2,69999,2,64,64,2,0,1,4483
64,1,T,3,80033,3,472,472,3,0,1,5154
64,1,T,4,90739,3,815,851,1,2,0,5257
64,1,T,5,102555,4,3417,3741,1,3,0,16048
64,1,T,6,125159,4,6158,6158,4,0,1,8373
64,1,T,7,141094,5,52186,,0,5,0,19464
64,1,T,8,168118,5,42731,42731,5,0,1,7413
64,1,T,9,184097,6,392487,32497,1,5,0,8834
64,1,T,10,201503,6,378294,327894,3,3,0,18472
